נושא על,תגית מאוחדת,כמה אוחדו,תגית מקורית,תת נושא,הצעות חוק,השאלה המלאה
"חינוך, תרבות ודת","דת ומעמד אישי","5","שירותי דת ממלכתיים","דת, רבנות ומעמד אישי","15","האם יש להרחיב ולהנגיש את שירותי הדת הממלכתיים (כגון גיור וכשרות) או לשמור על ריכוזיות ופיקוח הלכתי מחמיר?"
"חינוך, תרבות ודת","דת ומעמד אישי","5","תחרות בשוק הכשרות","דת, רבנות ומעמד אישי","11","האם לפתוח את שוק הכשרות לתחרות או לשמור על פיקוח מרכזי של הרבנות הראשית?"
"חינוך, תרבות ודת","דת ומעמד אישי","5","שירותי דת","דת, רבנות ומעמד אישי","9","האם על שירותי הדת הממלכתיים להיות אחידים באחריות המדינה או באחריות השלטון המקומי?"
"חינוך, תרבות ודת","דת ומעמד אישי","5","סרבנות גט","דת, רבנות ומעמד אישי","6","האם לחייב הסכמים והליכים משפטיים למניעת סרבנות גט ומצבי עיגון?"
"דיור, תחבורה ותשתיות","מחירי דיור ומשכנתאות","2","סבסוד משכנתאות ודיור","דיור, שכירות ומשכנתאות","40","האם על המדינה לסבסד את עלויות הדיור והמשכנתאות לכלל מחוסרי הדירה או למקד את המשאבים בקבוצות זכאות ספציפיות?"
"דיור, תחבורה ותשתיות","מחירי דיור ומשכנתאות","2","מחירי הדיור","דיור, שכירות ומשכנתאות","15","האם על המדינה להתערב בשוק הדיור באמצעות הגבלות ומיסים כדי להוריד מחירים, או לעודד שוק חופשי והסרת חסמים?"
"חינוך, תרבות ודת","זהות וקהילות","3","גופים ממשלתיים ייעודיים","שפה, זהות וקהילות","27","האם להקים גופים ומנגנונים ממשלתיים ייעודיים לטיפול באתגרים חברתיים ולאומיים?"
"חינוך, תרבות ודת","זהות וקהילות","3","התניית הטבות בשירות","שפה, זהות וקהילות","13","האם להתנות מתן הטבות ותמיכות מדינה בשירות בפועל למען החברה?"
"חינוך, תרבות ודת","זהות וקהילות","3","זהויות ותרבויות","שפה, זהות וקהילות","13","האם יש לתת עדיפות לחיזוק השפות, התרבויות והזהויות של קבוצות שונות בחברה הישראלית?"
"בריאות ורווחה","בריאות הנפש","2","אוטונומיה למתמודדי נפש","בריאות הנפש","28","האם יש לחזק את זכויותיהם ואוטונומיותם של מתמודדי נפש מול המערכת הטיפולית והמשפטית?"
"בריאות ורווחה","בריאות הנפש","2","תקציבי בריאות הנפש","בריאות הנפש","23","האם על המדינה להרחיב באופן משמעותי את תקציבי בריאות הנפש והמעטפת הטיפולית בקהילה ובמסגרות האשפוז?"
"עבודה, זכויות ושוויון","הגירה ומעמד אזרחי","2","איחוד משפחות","הגירה, אזרחות ומעמד","32","האם לאפשר מתן מעמד ואזרחות למהגרים ולבני משפחה במסגרת איחוד משפחות?"
"עבודה, זכויות ושוויון","הגירה ומעמד אזרחי","2","הגירה ומבקשי מקלט","הגירה, אזרחות ומעמד","13","האם יש להחמיר את התנאים והמגבלות על מהגרים, מבקשי מקלט ושוהים זרים?"
"ביטחון, חוץ ויחסי ישראל–פלסטינים","התיישבות וריבונות","1","החלת ריבונות ביו״ש","יהודה ושומרון, ריבונות והתיישבות","44","האם יש להחיל את הריבונות והחוק הישראלי על שטחים ביהודה ושומרון?"
"סביבה, חקלאות ושלטון מקומי","דיור ומקרקעין","2","פיתוח קרקעות וקניין","מקרקעין ושטחים פתוחים","35","האם יש לתת עדיפות להסדרה מהירה ופיתוח קרקעות באזורי עדיפות ובשמירה על זכויות קניין ותיקות?"
"סביבה, חקלאות ושלטון מקומי","דיור ומקרקעין","2","החלטות בבית משותף","מקרקעין ושטחים פתוחים","8","האם לאפשר לרוב דיירים בבית משותף לקבל החלטות ניהוליות ותשתיות מבלי להידרש להסכמת כולם?"
"סביבה, חקלאות ושלטון מקומי","סביבה ואקלים","3","רגולציה סביבתית","סביבה ואקלים","25","האם יש לתת עדיפות עליונה לשיקולים סביבתיים ורגולציה מחייבת על פני שיקולים כלכליים ונוחות?"
"סביבה, חקלאות ושלטון מקומי","סביבה ואקלים","3","אגרות משאבי טבע","טבע, גנים, חופים ומשאבי טבע","11","האם יש להטיל פיקוח הדוק ואגרות מוסדרות על השימוש במשאבי טבע ובאתרים ציבוריים?"
"סביבה, חקלאות ושלטון מקומי","סביבה ואקלים","3","אכיפת עבירות פסולת","פסולת, ניקיון ומיחזור","7","האם יש להטיל קנסות כבדים ואכיפה מנהלית נוקשה נגד עבירות פסולת ופשיעה סביבתית?"
"משפט, ממשל ודמוקרטיה","שקיפות ציבורית","1","שקיפות גופים ציבוריים","שקיפות, מידע ציבורי ואתיקה","42","האם להרחיב חובות שקיפות וגילוי מידע על גופים ציבוריים ועסקיים?"
"בריאות ורווחה","שיקום ואיבה","1","פיצויים לנפגעי איבה","שכול, נפגעי איבה ושיקום","42","האם יש להרחיב באופן משמעותי את מעטפת הזכויות, התמיכה והפיצויים לנפגעי עבירה, איבה ושכול?"
"חינוך, תרבות ודת","תקשורת ושידור","3","מימון שוק התקשורת","תקשורת ושידור","31","האם יש לצמצם את המעורבות הממשלתית והמימון הציבורי בשוק התקשורת לטובת תחרות חופשית?"
"חינוך, תרבות ודת","תקשורת ושידור","3","גישה לנתוני תקשורת","תקשורת ושידור","6","האם לאפשר לגורמי אכיפה גישה רחבה לנתוני תקשורת וחומרי חקירה כדי להילחם בפשיעה?"
"חינוך, תרבות ודת","תקשורת ושידור","3","שידורי תקשורת זרים","תקשורת ושידור","5","האם יש להעניק לרשויות המדינה כלים רחבים למניעת שידורי גופי תקשורת זרים?"
"דיור, תחבורה ותשתיות","תחבורה ציבורית","2","פיקוח תחבורה ציבורית","תחבורה ציבורית","27","האם להגביר את הפיקוח הממשלתי והאכיפה על מפעילי התחבורה הציבורית?"
"דיור, תחבורה ותשתיות","תחבורה ציבורית","2","תחבורה ציבורית בשבת","תחבורה ציבורית","14","האם לאפשר הפעלת תחבורה ציבורית ופתיחת נתיבים ייעודיים בשבת?"
"סביבה, חקלאות ושלטון מקומי","הגנה על בעלי חיים","2","סבל בעלי חיים","בעלי חיים","30","האם יש להחמיר את ההגבלה בחוק על פרקטיקות ופעולות הגורמות סבל לבעלי חיים?"
"סביבה, חקלאות ושלטון מקומי","הגנה על בעלי חיים","2","בעלי חיים","בעלי חיים","8","האם להרחיב ולהחמיר את סמכויות הפיקוח וההגנה על זכויות בעלי חיים?"
"עבודה, זכויות ושוויון","פרטיות ואבטחת מידע","3","אכיפה ופרטיות","פרטיות, מידע וזכויות דיגיטליות","27","האם יש לתת עדיפות עליונה להרחבת סמכויות האכיפה והביטחון על פני ההגנה על הפרטיות?"
"עבודה, זכויות ושוויון","פרטיות ואבטחת מידע","3","איסוף מידע אישי","פרטיות, מידע וזכויות דיגיטליות","5","האם יש לאפשר איסוף וריכוז מידע אישי על ידי רשויות המדינה לצרכי פיקוח ואכיפה?"
"עבודה, זכויות ושוויון","פרטיות ואבטחת מידע","3","מצלמות פיקוח במסגרות","פרטיות, מידע וזכויות דיגיטליות","5","האם לאפשר התקנת מצלמות פיקוח במסגרות טיפוליות ורפואיות כדי להגן על חסרי פניות?"
"ביטחון, חוץ ויחסי ישראל–פלסטינים","פלסטינים עזה וחטופים","3","קשרים עם הרשות","הרשות הפלסטינית, עזה וחטופים","23","האם יש לנתק את הקשרים הכלכליים והכספיים עם הרשות הפלסטינית?"
"ביטחון, חוץ ויחסי ישראל–פלסטינים","פלסטינים עזה וחטופים","3","עידוד הגירה ועזה","הרשות הפלסטינית, עזה וחטופים","8","האם על ישראל לנקוט צעדים של עידוד הגירה ושינוי שליטה באזורי עזה והרשות הפלסטינית?"
"ביטחון, חוץ ויחסי ישראל–פלסטינים","פלסטינים עזה וחטופים","3","תנאי כליאה ועסקאות","הרשות הפלסטינית, עזה וחטופים","6","האם על ישראל להגביל בחוק עסקאות חטופים ותנאי כליאה כדי למנוע תמריצים לטרור?"
"דיור, תחבורה ותשתיות","חשמל ואנרגיה","2","ניתוק חשמל","אנרגיה, חשמל וגז","19","האם יש למנוע ניתוק חשמל לאוכלוסיות במצוקה כלכלית או להקפיד על תשלום מלא כחובה?"
"דיור, תחבורה ותשתיות","חשמל ואנרגיה","2","אנרגיה מתחדשת","אנרגיה, חשמל וגז","12","האם יש לחייב מעבר לאנרגיה מתחדשת ופיתוח תשתיות ירוקות גם על חשבון עלויות נוספות?"
"דיור, תחבורה ותשתיות","מים וביוב","2","ניהול משק המים","מים וביוב","19","האם יש לאפשר לרשויות המקומיות ניהול עצמאי ורווחים במשק המים או כפוף לפיקוח מרכזי?"
"דיור, תחבורה ותשתיות","מים וביוב","2","סבסוד מחירי מים","מים וביוב","11","האם יש לסבסד את מחירי המים ולהעניק הטבות והנחות לצרכנים ולענפים מסוימים?"
"עבודה, זכויות ושוויון","הגנה על ילדים","2","הגנה משפטית לקטינים","זכויות ילדים וקטינים","22","האם יש להרחיב את ההתערבות וההגנה המשפטית על קטינים מול הרשויות והמשפחה?"
"עבודה, זכויות ושוויון","הגנה על ילדים","2","הגנה על קטינים","זכויות ילדים וקטינים","6","האם יש לחייב אתרי אינטרנט ורשתות חברתיות במנגנוני הגנה וחסימת תכנים כדי להגן על קטינים?"
"כלכלה, מיסים ויוקר המחיה","פנסיה וחיסכון","2","משיכת כספי פנסיה","פנסיה, חיסכון וביטוח","13","האם יש לאפשר גישה חופשית ומהירה לכספי חיסכון ארוך טווח בעת משבר, או לתעדף את עידוד החיסכון והבטחת קצבת הפנסיה?"
"כלכלה, מיסים ויוקר המחיה","פנסיה וחיסכון","2","דמי ניהול ופנסיה","פנסיה, חיסכון וביטוח","13","האם לתת עדיפות להורדת עלויות ודמי ניהול לציבור או להרחבת זכויות ורשתות ביטחון סוציאליות?"
"חינוך, תרבות ודת","ספורט","2","אכיפת ספורט","ספורט","16","האם יש להחמיר את האכיפה והפיקוח הממשלתי על גופים, אירועים וספורטאים?"
"חינוך, תרבות ודת","ספורט","2","תקציבי ספורט","ספורט","7","האם על המדינה להגדיל משמעותית את התקציבים והתמיכה הישירה בענפי וקבוצות הספורט?"
"ביטחון, חוץ ויחסי ישראל–פלסטינים","מעמד בין לאומי","2","סנקציות בינלאומיות","יחסי חוץ ומשפט בינלאומי","13","האם לאסור על גופים ישראליים לשתף פעולה עם סנקציות בינלאומיות פוגעניות נגד המדינה?"
"ביטחון, חוץ ויחסי ישראל–פלסטינים","מעמד בין לאומי","2","פעילות אונרא","יחסי חוץ ומשפט בינלאומי","7","האם לאסור לחלוטין את פעילות אונר״א בתחומי ישראל כדי למנוע טרור ולהבטיח ריבונות?"
"דיור, תחבורה ותשתיות","תעופה ותחבורה אווירית","2","פיצוי חברות תעופה","תעופה, ספנות ונמלים","10","האם להרחיב את חובות השירות והפיצוי של חברות התעופה כלפי הנוסעים?"
"דיור, תחבורה ותשתיות","תעופה ותחבורה אווירית","2","שדה תעופה בנגב","תעופה, ספנות ונמלים","7","האם יש להקים שדה תעופה בינלאומי נוסף בנגב כדי לפזר את העומס מנתבג?"
"משפט, ממשל ודמוקרטיה","בחירות ומפלגות","2","תנאי סף למפלגות","בחירות, מפלגות וייצוג פוליטי","9","האם יש להקשיח את תנאי הסף והמימון למפלגות כדי לייעל את המערכת הפוליטית?"
"משפט, ממשל ודמוקרטיה","בחירות ומפלגות","2","מעורבות מפלגות ברשויות","בחירות, מפלגות וייצוג פוליטי","5","האם לאפשר למפלגות ארציות להתערב ולתמוך במועמדים בבחירות למועצות האזוריות?"
"עבודה, זכויות ושוויון","זכויות חברתיות","1","עיגון זכויות חברתיות","זכויות אדם ואזרח","12","האם יש לעגן בחוק זכויות חברתיות ופרטניות חדשות, גם במחיר של הרחבת התערבות המדינה?"
